book No	Author	Alternate name (i.e.  Order Name)	Translator	Title	Sub-title	Year of Publication	Publisher	Place	Edition	Subject	Class 1	Class 2	Class 3	Keywords	Synopsis	Notes	ISBN	Medium	Copies	
470	"Powell, Robert"			The Great Awakening	Reflections on Zen and reality	1983	The theosophical publishing house	Weaton	First edition	Japanese	JAP	POW					0-8356-0577-9	Paperback	1	
471	"Rahula, Walpola"			Zen & the Taming of the Bull	Towards the definition of Buddhist thoughts	1978	Gordon Fraiser	London	First edition	Japanese	JAP	RAH					0-900406-69-0	Hardback	1	
472	Rajneesh (Bhagwan Shree) 			"No Water, No Moon"	Reflections on Zen	1977	Sheldon Press		London	Japanese	JAP	RAJ					0-85969-103-9	Paperback	1	
473	"Reps, Paul"			"Zen Flesh, Zen Bones"	A collection of Zen and pre-Zen writings	1957	Charles E. Tuttle comany	London	First edition	Japanese	JAP	REP							1	
474	"Reps, Paul"			"Zen Flesh, Zen Bones"	A collection of Zen and pre-Zen writings	1987	Penguin books	London		Japanese	JAP	REP					0-14-021283-3	Paperback	1	
475	"Reps, Paul"			Zen Telegrams	79 picture poems	1962	Charles E. Tuttle comany	Tokyo		Japanese	JAP	REP						Paperback	1	
476	"Rogers, Minor L & Rogers, Ann T"			Rennyo	The Second Founder of Shin Buddhism	1991	Asian Humanities Press				JAP	ROG					895-819309	paperback	1	
477	Ryokan		"Stevens, John"	"One Robe, One Bowl"	The Zen poetry of Ryokan	1986	"John Weatherhill, inc."	New York		Japanese	JAP	RYO					0-8348-0126-4	Paperback	1	
478	Ryokan		"Stevens, John"	"One Robe, One Bowl"	The Zen poetry of Ryokan	1986	"John Weatherhill, inc."	New York		Japanese	JAP	RYO					0-8348-0126-4	Paperback	1	
479	"Schloegl, Irmgard"			The Wisdom of the Zen Masters		1975	Sheldon	London	first edition	Japanese	JAP	SCH					0-85969-033-4	Paperback	1	
480	"Schloegl, Irmgard"			The Zen Way		1977	Sheldon press books	London	First edition	Japanese	JAP	SCH					0-85969-098-9	Paperback	1	
481	"Sekida, Katsuki (trans)"			Two Zen Classics	Mumonkan & Hekiganroku	1977	Weatherhill				JAP	SEK						paperback	1	
482	"Sekida, Katsuki"			Zen Training	Methods and Philosophy	1976	"John Weatherhill, inc."			Japanese	JAP	SEK					0-8348-0114-0	Paperback	1	
483	"Senzaki, Nyogen"			101 Zen Stories			Kessinger Publishing			Japanese	JAP	SEN					978-1162735276	Paperback	1	
484	"Shaku, Soyen (Rev)"		"Suzuki, D. T"	Sermons of a Buddhist Abbot	Addresses on Religious Subjects	1971	"Samual Weiser, Inc."			Japanese	JAP	SHA					0-87728-160-2	Paperback	1	
485	"Shaw, R.D.M."			The Blue Cliff Records	The Hekigan roku. Containing 100 stories of Zen masters of ancient China	1961	Michael Joseph ltd.	London	First edition	Japanese	JAP	SHA						Hardback	1	
486	Sheng-yen (Ch'an Master)			Faith in Mind	A Guide to Ch-an Practice	1987	Dharma Drum Publications			Japanese	JAP	SHE					0-9609854-2-5	paperback	1	
487	Sheng-yen (Ch'an Master)			Getting the Buddha Mind		1989	Dharma Drum Publications			Japanese	JAP	SHE					0-96-9854-0-9	paperback	1	
488	Sheng-yen (Ch'an Master)			The Infinite Mirror	Commentaries on Enquiry into Matching Halves and Songs of the Precious Mirror Samadhi	1990	Dharma Drum Publications			Japanese	JAP	SHE					0-960-9854-4-1	paperback	1	
489	Sheng-yen (Ch'an Master)			The Sword of Wisdom		2002	North Atlantic Books			Japanese	JAP	SHE					1-55643-428-6	paperback	1	
490	"Shibayama, Zenkei (Abbott)"	"Kudo, Sumiko"		A Flower Does Not Talk	Zen Essays	1977	Charles E. Tuttle comany	Tokyo		Japanese	JAP	SHI					0-8048-088408	Paperback	1	
491	Shinran			Collected Works Vol 1 		1997	Jodo Shinshu Hongwanji-ha		First edition	Japanese	JAP	SHI						Hardback	1	
492	Shinran			Collected Works Vol 2		1997	Jodo Shinshu Hongwanji-ha		First edition	Japanese	JAP	SHI						Hardback	1	
493	Shinran		Ryukoku Translation Series	Kyo gyo shin sho	"The teaching Practice, Faith & Enlightenment"	1966	Ryukoku University				JAP	SHI						paperback	1	
494	Shinran			Notes on Once- Calling & Many-calling	A translation of Shinran's Ichinen- Tanen Mon'i	1980	Shin Buddhism Translation Series				JAP	SHI						paperback	1	
495	Shinran		Ryukoku Translation Series	Shoshin Ge	The Gatha of true faith in the Nembutsu	1966	Ryukoku University				JAP	SHI						paperback	1	
496	Shinran		"Futaba, K."	Shozomatsu Wasan - Shinran's Hymns on the last age	Ryukoku Translation Series VII	1980	Ryukoku University			Mahayana Sutras	JAP	SHI						Paperback book	1	
497	Shinran		"Hirota, Dennis"	Tannisho A primer		1991	Ryukoku University				JAP	SHI						Paperback	1	
498	Shinran		Ryukoku Translation Series	The Jodo Wasan	The Hymns on the Pure Land	1965	Ryukoku University				JAP	SHI						paper	1	
499	Shinran		Ryukoku Translation Series	The Koso Wasan	The Hymns on the Patriarchs by Shinran	1974	Ryukoku University				JAP	SHI						hardback	1	
500	Shinran		Ryukoku Translation Series	The Tanni Sho	Notes Lamenting Differences	1962	Ryukoku University				JAP	SHI						paperback	1	
501	"Smith, Forrest.G (ed)"			Pure-Land Zen Zen Pure-Land	Letters from Patriarch Yin Kuang	1993	Sutra Translation Committee of the United States and Canada	"New York, San Francisco, Toronto"	2	Buddhist scriptures; anthologies	JAP	SMI		pure land; zen; yin kuang	"This book is a translation of selected passages from the letters of Elder Master Yin Kuang, the Thirteenth Patriarch of Pure Land."			Book	1	
502	"Spiegelberg, Frederic"			Zen Rocks and Water		1962	George Allen & Unwin ltd.	First edition		Japanese	JAP	SPI						hardback	1	
503	"Stone, Jaqueline I"			Original Enlightenment and the Transformation of Medieval Japanese Buddhism		1999	Universtiy of Hawaii Press			Japanese	JAP	STO					0-2848-2026-6	hardback	1	
504	"Styrk, Lucien & Takashi, Ikemoto"			The Penguin Book of Zen Poetry		1981	Penguin Books				JAP	STY					140-548990	paperback	1	
505	"Styrk, Lucien & Takashi, Ikemoto"			The Penguin Book of Zen Poetry		1981	Penguin Books				JAP	STY					140-548990	paperback	1	
506	"Suzuki, D. T"			An Introduction to Zen Buddhism		1969	Rider and company			Japanese	JAP	SUZ					0-09-151121-6	Paperback	1	
507	"Suzuki, Shunryu"			Branching Streams Flow in the Darkness	Zen Talks on the Sandokai	1999	University of California Press			Japanese	JAP	SUZ					0-520-21982-1	hardback	1	
508	"Suzuki, D. T"			Essays in Zen Buddhism - first series		1973	Anchor Press			Japanese	JAP	SUZ					0-09-026771-0	paperback	1	
509	"Suzuki, D. T"			Essays in Zen Buddhism - second series		1950	Rider and company			Japanese	JAP	SUZ						hardback	1	
510	"Suzuki, D. T"			Living by Zen		1972	Rider and company			Japanese	JAP	SUZ					0-09-149981-X	Paperback	1	
511	"Suzuki, D. T"			"Mysticism, Christian and Buddhist"		1957	George Allen & Unwin ltd.	First edition		Japanese	JAP	SUZ						Hardback	1	
512	"Suzuki, D. T"			Studies in Zen		1955	Rider and company			Japanese	JAP	SUZ						hardback	1	
513	"Suzuki, D. T"			The Essence of Buddhism		1947	The Buddhist Society	Second edition		Japanese	JAP	SUZ						Pamphlet	1	
514	"Suzuki, D. T"			The Field of Zen	Contributions to the Middle Way	various	The Buddhist Society			Japanese	JAP	SUZ						Hardback	1	
515	"Suzuki, D. T"			The Training of the Zen Buddhist Monk		1959	"University Books, N York"			Japanese	JAP	SUZ						Hardback	1	
516	"Suzuki, D. T"			The Zen Doctrine of No-Mind	The Significance of the Sutra of Hui-Neng	1986	Rider and company			Japanese	JAP	SUZ					0-09-152971-9	Paperback	1	
517	"Suzuki, D. T"			The Zen Koan as a Means of Attaining Enlightenment		1994	Charles E. Tuttle comany			Japanese	JAP	SUZ					0-8048-3041-X	paperback	1	
518	"Suzuki, D. T"			What is Zen?		1971	The Buddhist Society			Japanese	JAP	SUZ						hardback	1	
519	"Suzuki, D. T"			Zen and Japanese Culture		1959	Routledge and Kegan Paul	First edition		Japanese	JAP	SUZ						hardback	1	
520	"Suzuki, Shunryu"			"Zen Mind, Beginners Mind"	"Informal Talks on Zen, Meditation and Practice"	1984	"John Weatherhill, inc."			Japanese	JAP	SUZ					0-8348-0079-9	Paperback	1	
521	"Suzuki, Shunryu"			"Zen Mind, Beginners Mind"	"Informal Talks on Zen, Meditation and Practice"	1984	"John Weatherhill, inc."			Japanese	JAP	SUZ					0-8348-0079-9	Paperback	1	
522	"Swann, Jeffrey"			Toe Hold on Zen		1962	George Allen & Unwin ltd.			Japanese	JAP	SWA						hardback	1	
523	"Switzer, Irwin A"			D. T. Suzuki: A Biography		1985	The Buddhist Society			Japanese	JAP	SWI						Paperback	1	
524	"Takahashi, Shinkichi"		"Styk, Lucien & Ikemoto, Takashi"	Afterimages 	Zen Poems	1971	London Magazine Editions			Japanese	JAP	TAK					900626-17-8	Hardback	1	
525	"Takahashi, Shinkichi"	Lok To		Pure Land of the Patriarchs		1993	The Corporate Body of the Buddha Educational Foundation			Japanese	JAP	TAK						Paperback	1	
526	"Tamura, Yoshiro"			Japanese Buddhism	A Cultural History	2000	Kosei Publishing Company			Japanese	JAP	TAM					4-333-01684-3	paperback	1	
527	"Tanahashi, Kazuaki (ed)"			Enlightenment Unfolds	The Essential Teachings of Zen Master Dogen	1998	Shambala Publications			Japanese	JAP	TAN					1-570062-570-0	paperback	1	
528	Tun Huang		"Yampolsky, Philip B "	The Platform Sutra of the Sixth Patriarch	The Text of the Tun-Huang Manuscript	1967	Columbia university press			Japanese	JAP	TUN					0231-08361-0	Paperback	1	
529	"Ueda, Yoshifumi & Hirota, Dennis"			Shinran	An introduction to His Thoughts	1989	Hongwanjii International Centre				JAP	UED						paperback	1	
530	"Unno, Taitetsu"			"River of Fire, River of Water"		1998	Doubleday			Japanese	JAP	UNN					0-385-48511-5	Paperback	1	
531	"Unno, Tiatetsu"			Shin Buddhism	Bits of Rubble turn into gold	2002	Doubleday				JAP	UNO					0-385-50469-1	paperback	1	
532			Upasika Chimann	The Four Buddhist Books in Mahayana			The Corporate Body of the Buddha Educational Foundation			Mahayana Sutras	MAH TXT	ANTH						Paperback book	1	x
533	"Watts, Alan"			The Book on the Taboo Against Knowing Who You Are		1969	Jonathan Cape	First edition		Japanese	JAP	WAT					224-61599-8	Hardback	1	
534	"Watts, Alan"			The Spirit of Zen	"A Way of Life, Work and Art in the Far East"	1948	"John Murray, Albermarle Street."			Japanese	JAP	WAT						Hardback	1	
535	"Watts, Alan"			The Way of Liberation in Zen Buddhism		1955	The American Academy of Asian Studies			Japanese	JAP	WAT						pamphlet	1	
536	"Watts, Alan"			The Way of Zen		1982	Pelican Books			Japanese	JAP	WAT					0-14-02-0547-0	Paperback	1	
537	"Watts, Alan"			"This is It, and Other Essays on Zen Spiritual Experience"		1961	"John Murray, Albermarle Street."			Japanese	JAP	WAT						Hardback	1	
538	"Watts, Alan"			Zen Buddhism	A new outline and introduction	1947	The Buddhist Society			Japanese	JAP	WAT						Pamphlet	1	
539	Wei Wu Wei			Ask the Awakened	The Negative Way	1963	Routledge and Kegan Paul			Japanese	CHI	WEI						Hardback	1	
540	Wei Wu Wei			Fingers Pointing Towards the Moon	Reflections of a Pilgrim on the Way	1958	Routledge and Kegan Paul			Japanese	CHI	WEI						Hardback	1	
541	Wei Wu Wei			Open Secret		1965	Hong Kong University Press			Japanese	CHI	WEI						Paperback	1	
542	Wei Wu Wei			The Tenth Man	The Great Joke (which made Lazarus laugh)	1966	Hong Kong University Press			Japanese	CHI	WEI						Paperback	1	
543	"Yamasaki, Taiko"		"Peterson, Richard & Cynthia"	"Shingon, Japanese Esoteric Buddhism"		1988	Shambhala			Japanese	JAP	YAM					0-87773-443-7	paperback	1	
544	"Yamada, Koun (trans)"			The Gateless Gate	The Classic Book on Zen Koans	1990	Wisdom Publications			Japanese	JAP	YAM					0-86171-382-6	paperback	1	
545			"Yamada, M."	The Sutra of Contemplation of the Buddha of Immeasurable Life		1984	Ryukoku University			Mahayana Sutras	MAH TXT	CBIF						Softback book	1	x
546	"Yokoi, Yuho"			Zen Master Dogen	An Introduction with selected wrtings	1987	Weatherhill				JAP	YOK						paperback	1	
547	Zuiken Saizo Inagaki			Nembutsu and Zen	Zuiken's sayings	1995	Horai Association	Kyoto	First edition	Japanese	JAP	ZUI					4-8162-6957-6	Hardback	1	
548	"Albers, A. Christina"			The Life of the Buddha			The Maha Bodhi Society of India			Non Triratna authors	LOB	ALB						Phamphlet	1	
549	"Arnold, Edwin (Sir)"			The Light of Asia	or the Great Renounciation 	1998	Windhorse				LOB	ARN					1-899579192	hardback	1	
550	"Byles, Marie Beuzebille"			Footprints of Gotama the Buddha		1957	Quest				LOB	BYL						paperback	1	
551	"Carrithers, Michael"			The Buddha	Past Masters	1983	Oxford University Press			Non Triratna authors	LOB	CAR					0-19-287589-2	Paperback book	1	
552	"Carrithers, Michael"			The Buddha	Past Masters	1983	Oxford University Press			Non Triratna authors	LOB	CAR					0-19-287589-2	Paperback book	1	
553	"Carrithers, Michael"			The Buddha	Past Masters	1983	Oxford University Press			Non Triratna authors	LOB	CAR					0-19-287589-2	Paperback book	1	
554	"Carrithers, Michael"			The Buddha	Past Masters	1983	Oxford University Press			Non Triratna authors	LOB	CAR					0-19-287589-2	Paperback book	1	
555	"Coomeraswamy, Ananda K. & Horner, I.B."			Gotama the Buddha		1948	Cassell			Non Triratna authors	LOB	COO						Hardback book	1	
556	"Hai, Jan (Bhikkshu)"			A Pictorial Biography of Sakyamuni Buddha		1998	The Corporate Body of the Buddha Educational Foundation			Books in other languages	LOB	HAI	Ch					Paperback book	1	
557	"Kalupahana, David J."			The Way of Siddhartha	A life of the Buddha	1987	University Press of America			Non Triratna authors	LOB	KAL					0-8191-6066-0	Paperback book	1	
558	Nanamoli (Bhikkhu)			The Life of the Buddha		1978	Buddhist Publication Society				LOB	NAN						Hardback	1	
559	Nanamoli (Bhikkhu)			The Life of the Buddha		1992	Buddhist Publication Society				LOB	NAN					9-5524006352	paperback	1	
560	"Saddhatissa, Hammalawa"			The Life of the Buddha		1976	George Allen and Unwin Ltd			Non Triratna authors	LOB	SAD					0-04-294094-X	Hardback book	1	
561			"Shaw, Sarah"	The Jatakas		2006	Penguin				LOB	SHA					978-0-14-4000147	Paperback	1	
562	Silacara (Bhikkhu)			A Young People's Life of the Buddha		1953	W. E. Bastian & Co.			Non Triratna authors	LOB	SIL						Paperback book	1	
563	"Anacker, Stefan"			Seven Works of Vasubandu	The Buddhist Psychological Doctor	1984	Motilal Banarsidass				MAH	GEN	ANA				81-208-0203-9	hardback	1	
564	Asanga		"Rahula, W., Boin-Webb, S."	Abhidharmasamuccaya	The compendium of the Higher Teaching (Philosophy)	2001	Jain Publishing Company			Madhyamaka and Yogacara	MAH	GEN	ASA				0-89581-941-4	Hardback book	1	
565	Asanga		"Keenan, J.P."	The Summary of the Great Vehicle		1992	Numata Centre for Buddhist Translation and Research			Madhyamaka and Yogacara	MAH	GEN	ASA				0-9625618-6-X	Hardback book	1	
566	"Blofeld, John"			Compassion Yoga	The Mystical Cult of Kuan Yin	1977	Mandala Books				MAH	GEN	BLO				0-04-149045-2	PAPERBACK	1	
567	"Boucher, Daniel"			Bodhisattvas of the Forest & the Formation of the Mahayana	A study & translation of the Rastrapalapariprccha sutra	2008	University of Hawaii press				MAH	GEN	BOU				978-0-8248-2881-3	HARDBACK	1	
568	"Brassard, Francis"			The Concept of Bodhicitta in Santideva's Bodhicaryavatara		2000	State University of New York Press			Tibetan	MAH	GEN	BRA				0-7914-4576-3	Paperback book	1	
569	"Brown, Brian Edward"			The Buddha Nature	A Study of the Tathagatagarba and Alayavijnana	1991	Motilal Banarsidass				MAH	GEN	BRO				81-208-0631X	HARDBACK	1	
570	"Burton, David F"			Emptiness Appraised	A Critical Study of Nagarjuna's Philosophy	1999	Curzon Press				MAH	GEN	BUR				0-7007-1066-3	HARD	1	
571	Candrogomin		"Tatz, Mark"	Difficult Beginnings	Three works on the Bodhisattv path	1985	Shambala				MAH	GEN	CAN				0-394-54530-3	HARD	1	
572	"Cheetham, Eric"			The Main Mahayana Schools		1993	"The Buddhist Society, London"				MAH	GEN	CHE					PAPERBACK	1	
573	"Chodron, Pema"			No Time To Lose	A Timely Guide to the Way of the Boddhisattva	2005	Shambala				MAH	GEN	CHO				1-59030-135-8	HARDBACK	1	
574			"Cleary, Thomas"	Buddhist Yoga	Sandhinirmochana-sutra	1995	Shambhala	Boston			MAH	GEN	CLE					Book	1	
575	"Tongxuan, Li"		"Cleary, T."	Entry Into the Realm of Reality	The Guide	1989	Shambala Publications			Mahayana Sutras	MAH	GEN	CLE				0-87773-477-1	Paperback book	1	
576	"Duerlinger, James"			Indian Buddhist Theories of Persons		2003	Routledge Curzon				MAH	GEN	DUE				0-415-40611-0	PAPERBACK	1	
577			"Gomez, L.O."	The Land of Bliss	The paradise of the Buddha of Measureless Light; Sanskrit and Chinese Versions of the Sukhavatuvyuha sutra	1996	University of Hawaii Press			Mahayana Sutras	MAH	GEN	GOM				0-8248-1760-5	Paperback book	1	
578	"Gyatso, Geshe Kelsang"			Heart of Wisdom	A commentary to the Heart Sutra	1989	Tharpa			Tibetan	MAH	GEN	GYA				0-948006-10-2	Paperback	1	
579	"Gyatso, Geshe Kelsang"		Tenzin Norbu	Meaningful to Behold	"View, Meditation and Action in Mahayana Buddhism"	1980	Wisdom Publications			Tibetan	MAH	GEN	GYA				0-86171-003-7	Book	1	
580	"Gyatso, Geshe Kelsang"			Meaningful to Behold	A commentary on Shantideva's Guide to the Bodhisattva's Way of Life	1989	Tharpa		3	Tibetan	MAH	GEN	GYA				0-948006-11-0	Book	1	
581	"Gyatso, Geshe Kelsang"			The Bodhisattva Vow	The Essential Practices of Mahayana Buddhism	1991	Tharpa			Tibetan	MAH	GEN	GYA				0-948006-14-5	Book	1	
582	"Gyatso, Tenzin"		"Wallace, Alan B."	Transcendent  Wisdom	A Commentary on the Ninth Chapter of Shantideva's Guide to the Bodhisattva Way of Life	1988	Snow Lion Publications	"New York, USA"	First	Tibetan	MAH	GEL	DL14	"Tibetan, Centrist View, Self, Mindfulness, Transcendent Wisdom."	"Annoted teaching from the Dalai Lama where he disccusses how the Centrist view differs from Buddhism, whilst discussing points on widsom, realizing emptiness, Refutation of Identity the ansence of True Existance."		0-937938-65-3	Paperback book	1	
583	"Hanh, Thich Nhat"			The Heart of Understanding	Commentaries on the prajnaparamita Heart Sutra	1988	Parallax Press			Mahayana Studies	MAH	GEN	HAN				0-938077-11-2	Paperback book	1	
584	"Hanh, Thich Nhat"			The Heart of Understanding	Commentaries on the prajnaparamita Heart Sutra	1988	Parallax Press			Mahayana Studies	MAH	GEN	HAN				0-938077-11-2	Paperback book	1	
585	"Hookham, M"			On Freeing the Heart		1988	Longchen Foundation		2		MAH	GEN	HOO				095-11-47714	PAPERBACK	1	
586	Hsuan Hua		Buddhist Text Translation Society	The Heart of Prajna Paramita Sutra		2002	Buddhist Text Translation Society			Madhyamaka and Yogacara	MAH	GEN	HSU				0-88139-484-X	PAPERBACK	1	
587	"Kalupahana, D.J."			Nagarjuna The Philosophy of the Middle Way		1986	State University of New York Press			Madhyamaka and Yogacara	MAH	GEN	KAL				0-88706-149-4	Paperback book	1	
588	"Kawamura, Leslie S"			The Bodhisattva Doctrine in Buddhism		1997	Sri Satguru Publications				MAH	GEN	KAW				81-7030-563-2	HARDBACK	1	
589	"Kim, Young-Ho"			Tao-Sheng's Commentary on the Lotus Sutra		1990	State University of New York Press				MAH	GEN	KIM				0-7914-0228-2	PAPERBACK	1	
590	"Kochumuttom, T.A"			A Buddhist Doctrine of Experience	A New Translation and interpretation of the Works of Vasabandhu the Yogacarin	1989	Motilal Banarsidass			Madhyamaka and Yogacara	MAH	GEN	KOC				81-208-0662-x	Hardback book	1	
591	"Komito, D.R."			"Nagarjuna's ""Seventy Stanzas"" A Buddhist Psychology of Emptiness"		1987	Snow Lion Publications			Madhyamaka and Yogacara	MAH	GEN	KOM				0-937938-39-4	Paperback book	1	
592			"Lamotte, E & Pruden, LM"	Karmasiddhi Prakarana	The Tretise on Action by Vasubandhu	1987	Asian Humanities Press				MAH	GEN	LAM				0-895-81907-4	PAPERBACK	1	
593	"Lopez, Donald S Jr"			The Heart Sutra Explained	Indian and Tibetan Commentaries		State University of New York Press			Mahayana Studies	MAH	GEN	LOP				0-88706-590-2	Paperback book	1	
594	"Lusthaus, D."			Buddhist Phenomenology	A Philosophical Investigation of Yogacara Buddhism and the Ch'eng Wei-Shih lun	2002	Routledge			Madhyamaka and Yogacara	MAH	GEN	LUS				0-7007-1186-4	Hardback book	1	
595	Maitreya (Arya)		"Martin, M."	Distinguishing the Middle from the Extremes	Chapter Five The Distinctive Path of the Mahayana	1991	Marpa Institute			Madhyamaka and Yogacara	MAH	GEN	MAI					Paperback book	1	
596	"Murti, T.R.V."			The Central Philosophy of Buddhism	A Study of the Madhyamika System	1998	Munshiram Manoharlal Publishers			Non-Triratna Authors	MAH	GEN	MUR				81-215-0834-7	Hardback book	1	
597	"Murti, T.R.V."			The Central Philosophy of Buddhism	A Study of the Madhyamika System	1974	George Allen and Unwin Ltd			Non-Triratna Authors	MAH	GEN	MUR				0-04-29-4033-8	Hardback book	1	
598	"Nagao, Gadjin"		"Kawamura, L.S."	Madhyamika and Yogacara		1991	State University of New York Press			Madhyamaka and Yogacara	MAH	GEN	NAG				0-7914-0186-3	Hardback book	1	
599	"Nagao, Gadjin"		"Keenan, J.P."	The Foundational Standpoint of Madhyamika Philosophy		1990	Sri Satguru Publications			Madhyamaka and Yogacara	MAH	GEN	NAG				81-7030-230-1	Hardback book	1	
600	"Nattier, Jan"			A Few Good Men	The Bodhisattva Path according to The Inquiry of Ugra (Ugrapariprccha)	2005	University of Hawaii Press			Mahayana Studies	MAH	GEN	NAT				0-8248-3003-2	Paperback book	1	
601	"Niwano, Nikkyo"			A Guide to the Threefold Lotus Sutra		1985	Kosei Publishing Company			Mahayana Studies	MAH	GEN	NIW				4-333-01025-x	Paperback book	1	
602	"Padhye, A M"			The Framework of Nagarjuna's Philosophy		1998	Sri Satguru Publications				MAH	GEN	PAD				81-7030-124-6	HARDBACK	1	
603	"Pagel, Ulrich"			The Bodhisattvapitaka	"Its Doctrines, Practices and their position in Mahayana Literature"	1995	The Institute of Buddhist Studies			Mahayana Studies	MAH	GEN	PAG				0-9515424-4-3	Hardback book	1	
604	Kunzang Pelden		Padmakara Translation Group	The Nectar of Manjushri's Speech	A detailed Commentary on Shantideva's Way of the Bodhisattva	2007	Shambala Publications			Mahayana Studies	MAH	GEN	PEL				978-1-59030-439-6	Hardback book	1	
605	"Robinson, Richard H"			Early Madhyamika in India & China		1978	Motilal Banarsidass				MAH	GEN	ROB				0-89684-038-7	HARDBACK	1	
606	"Santina, Peter Della"			Madhyamak Schools in India		1986	Motilal Banarsidass				MAH	GEN	SAN				81-208-0153-9	HARDBACK	1	
607	"Sheng-yen, Ch'an master"			There is No Suffering	A commentary on the Heart Sutra	2001	North Atlantic Books			Japanese	MAH	GEN	SHE				1-55643-385-9	Paperback	1	
608	"Singh, Jaideva"			An Introduction to Madhyamaka Philosophy		1976	Motilal Banarsidass				MAH	GEN	SIN				81-208-0326-4	PAPERBACK	1	
609	"Stcherbatsky, T"			The Concept of Buddhist Nirvana		1968	Motilal Banarsidass				MAH	GEN	STC				0-89684-033-6	HARDBACK	1	
610	"Suzuki, Beatrice Lane"			Mahayana Buddhism		1948	David Marlowe Limited			Mahayana Studies	MAH	GEN	SUZ					Hardback book	1	
611			"Suzuki, D."	Studies in the Lankavatara Sutra		1957	Routledge			Mahayana Sutras	MAH	GEN	SUZ						1	
612	"Tang, Hsuan"		Lok To	The Prajna Paramita Heart Sutra		1995	The Corporate Body of the Buddha Educational Foundation			Mahayana Studies	MAH	GEN	TAN					Paperback book	1	
613	"Tang, Hsuan"		Lok To	The Prajna Paramita Heart Sutra		1995	The Corporate Body of the Buddha Educational Foundation			Mahayana Studies	MAH	GEN	TAN					Paperback book	1	
614	"Tola, Fernando & Dragonetti, Carmen"			On Voidness	A Study of Buddhist Nihilism	1995	Motilal Banarsidass				MAH	GEN	TOL				81-208-1061-9	HARDBACK	1	
615	"Walser, |Joseph"			Nagarjuna in context	Mahayana Buddhism & Early Indian Culture	2004	Columbia University Press				MAH	GEN	WAL				0-231-13164x	hardback	1	
616	"Williams, Paul"			Mahayana Buddhism	The Doctrinal Foundations	1989	Routledge			Mahayana Studies	MAH	GEN	WIL				0-415-02537-0	Paperback book	1	
617	"Wood, Thomas E"			Nagarjunian Disputations	A Philosophical Journey through an Indian Looking-Glass	1995	Sri Satguru Publications				MAH	GEN	WOO				81-7030-467-9	HARDBACK	1	
618	Yeshe (Lama)			Manjushri	A Commentary on the Kriyatantra Yoga Method of Divine Wisdom Manjushri	1984	Wisdom Publications			Mahayana Studies	MAH	GEN	YES					Paperback book	1	
619	IDRBL-S			Les Bases Fondementales Du Bouddhisme Mahayana		1997	The Corporate Body of the Buddha Educational Foundation				MAH	GEN F	IDR					paperback	1	
620	"Lin, Yutang Dr."			Wisdom & Compassion in Limitless-Oneness		1994					MAH  	GEN	LIN					PAPERBACK	1	
621			"Vallee Poussin, Louis De La"	Abidharmakosabhasayam vol 1		1988	Asian Humanities Press				MAH TXT	ABI	VAL				0-89581-913-9	hard	1	
622				Abidharmakosabhasayam vol 2		1988	Asian Humanities Press				MAH TXT	ABI	VAL						1	
623				Abidharmakosabhasayam vol 3		1988	Asian Humanities Press				MAH TXT	ABI	VAL						1	
624				Abidharmakosabhasayam vol 4		1988	Asian Humanities Press				MAH TXT	ABI	VAL						1	
625			"Hakeda, Y.S."	The Awakening of Faith	Attributed to Asvaghosha	1967	Columbia University Press			Mahayana Sutras	MAH TXT	AFM	HAK				0-231-08336-x	Paperback book	1	
626	Ashvagosha		"Richard, T."	The Awakening of Faith		1961	Messrs			Mahayana Sutras	MAH TXT	AFM	RIC					Hardback book	1	
627			Udaya Meddegama	Anagatavamsa Desana	The Sermon of the Chronicle-to-be	1993	Motilal Banarsidass			Mahayana Sutras	MAH TXT	ANA	UDA				81-208-1133-x	Hardback book	1	
628			"Cleary, T."	The Flower Ornament Scripture	A translation of the Avatamsaka Sutra	1984	Shambala Publications			Mahayana Sutras	MAH TXT	AVA	CLE				0-87773-767-3	Hardback book	1	
629			"Cleary, T."	The Flower Ornament Scripture	A translation of the Avatamsaka Sutra	1984	Shambala Publications			Mahayana Sutras	MAH TXT	AVA	CLE				0-87773-767-3	Hardback book	1	
630			Sutra Translation Committee of the United States and Canada	Brahma Net Sutra	Moral Code of the Bodhisattvas	1998	Corporate Body of the Buddha Educational Foundation			Mahayana Sutras	MAH TXT	BNS	STCUS&C					Paperback book	1	
631			"Batchelor, Stephen"	A Guide to the Bodhisattva's Way of Life		1979	Library of Tibetan Works & Archives				MAH TXT	BOD	BAT				81-85102-59-7	PAPERBACK	1	
632			"Batchelor, Stephen"	A Guide to the Bodhisattva's Way of Life		1979	Library of Tibetan Works & Archives				MAH TXT	BOD	BAT					PAPER	1	
633			"Batchelor, Stephen"	A Guide to the Bodhisattva's Way of Life		1979	Library of Tibetan Works & Archives				MAH TXT	BOD	BAT					PAPER	1	
634			"Crosby, K & Skilton, A"	The Bodhicaryavatara		1995	Oxford University Press				MAH TXT	BOD	CRO				0-19-282979-3	pap	1	
635			"Crosby, K & Skilton, A"	The Bodhicaryavatara		1995	Oxford University Press				MAH TXT	BOD	CRO				0-19-282979-3	paper	1	
636			"Matics, Marion l"	Entering the path of Enlightenment	The Bodhicaryavatara of the Buddhist Poet Santideva	1971	George Allen and Unwin Ltd				MAH TXT	BOD	MAT				0-04-294072-9	ha	1	
